,labels,text
68,PAY&BENEFITS | WORKPLACE,Good benifit from management. great working environment
69,PAY&BENEFITS | WORKPLACE,Average benefit. cause the environment is good
70,PAY&BENEFITS | WORKPLACE,High pay for ot. The environment
71,PAY&BENEFITS | WORKPLACE,Energetic environmen.Salary revision to a new level to resolve inflation issue seems to retain the talents that keep the company moving
72,PAY&BENEFITS | WORKPLACE,strategic location. It is not support the hospitalization as per what it is stated
73,PAY&BENEFITS | WORKPLACE,good environment. Overall system and employee benefits
74,PAY&BENEFITS | WORKPLACE,this is s great place to work and The salary for starter
75,PAY&BENEFITS | WORKPLACE,Work environment. Good benefits
76,PAY&BENEFITS | WORKPLACE,The great things are when you are surrounded by cheerful. Salary adjustment
77,PAY&BENEFITS | WORKPLACE,Acceptable incentives. The positivity and environtment
78,PAY&BENEFITS | WORKPLACE,Got good yearly increment and environment working place
79,PAY&BENEFITS | WORKPLACE,High incentive payout and the the environment is great
80,PAY&BENEFITS | WORKPLACE,Get more benefit from company. Add more facility(elevator)
81,PAY&BENEFITS | WORKPLACE,Staff benefit & work exposure. Add more space in pantry and make sure it's always clean
82,WORKPLACE,good environment to learn
83,WORKPLACE,Not enough place to eat
84,WORKPLACE,Supportive working environment
85,WORKPLACE,work like family
86,WORKPLACE,environment company
87,WORKPLACE,near lrt kerinchi
88,WORKPLACE,The working environment have a positive vibes
89,WORKPLACE,Best working enviroment
90,WORKPLACE,A work place
91,WORKPLACE,im looking for new environment
92,WORKPLACE,Good working environments
93,WORKPLACE,A very great and positive vibe
94,WORKPLACE,places of working far away from my home
95,WORKPLACE,The environment is great
96,WORKPLACE,good teamwork
97,WORKPLACE,good working environment
98,WORKPLACE,Packed in the elevator everyday during pick hour
99,WORKPLACE,Weak culture
100,WORKPLACE,spiritual and working environment
101,WORKPLACE,The working environment was superb
102,MANAGEMENT | WORKPLACE,Continuous change in guidelines. don't have space to speak out
103,MANAGEMENT | WORKPLACE,Need to catch up with others providers which give a high impact to Malaysia Internet. I'm enjoy to work here
104,MANAGEMENT | WORKPLACE,the company is under pressure from many factors that affect its stability. Add more facility(elevator)
105,MANAGEMENT | WORKPLACE,Thinking about to manage properly. Packed in the elevator everyday during pick hour
106,MANAGEMENT | WORKPLACE,pressure like another company. Working environment
107,MANAGEMENT | WORKPLACE,Need to improve especially on products and services that company provide to their customers. Line phone slow 2G/3G
108,MANAGEMENT | WORKPLACE,Need to challenge with other communication company. Challenging and dynamic work environment
109,MANAGEMENT | WORKPLACE,Management sucks and No public transport
110,MANAGEMENT | WORKPLACE,too many product whereby it is not TM core. The props should have been moved or located to specific room so it wouldn't look too messy
111,MANAGEMENT | WORKPLACE,management not take staff idea into consideration especially from the sales team. But the environment not really clean because of their are producing the cement
112,MANAGEMENT | WORKPLACE,too many top management. There is always rooms for improvement for this company especially the facilities
113,MANAGEMENT | WORKPLACE,no time for new staff to adapt new environment.Internal politics rife and appointment of top management
114,MANAGEMENT | WORKPLACE,traffic jam during peak hours. Multi-layered governance & approval process
115,MANAGEMENT | WORKPLACE,quite stress environment and management is so terrible
116,MANAGEMENT | WORKPLACE,working environment and the upper management
117,MANAGEMENT | WORKPLACE,24 hours operation but i need to travel far from my house
118,MANAGEMENT | WORKPLACE,management no care of workers. The environment is very challenging
119,MANAGEMENT | WORKPLACE,Too many hierarchy. Intern also need to bring their own laptop
120,MANAGEMENT | WORKPLACE,Management keep asking for bigger number as usual. Less convenience for people who dont posses own transport
121,MANAGEMENT | WORKPLACE,Less convenience for people who dont posses own transport. Come out with best new products and services
122,MANAGEMENT | WORKPLACE,Lot of resources. Too many red tapes
